DocumentID,DocumentTitle,DocumentURL,Letter Date,Letter Year,PrimaryLanguage,AdditionalLanguage,Author,Recipient,SourceSmallest,SourceCity,SourceState,SourceCountry,Source,DestinationSmallest,DestinationCity,DestinationState,DestinationCountry,Destination
623554,Pennsylvania Assembly Committee: Report on the Easton Conference,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=111a,1757-1-29,1757,English,,Pennsylvania Assembly,Benjamin Franklin,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623555,To Peter Collinson,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=114a,1757-1-31,1757,English,,Benjamin Franklin,Peter Collinson,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",London,London,Greater London,England,"London, Greater London, England"
623556,To William Strahan,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=115a,1757-1-31,1757,English,,Benjamin Franklin,William Strahan,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",London,London,Greater London,England,"London, Greater London, England"
623557,To Robert Charles,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=116a,1757-2-1,1757,English,,Benjamin Franklin,Robert Charles,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",London,London,Greater London,England,"London, Greater London, England"
623558,To Richard Partridge,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=118a,1757-2-1,1757,English,,Benjamin Franklin,Richard Partridge,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",London,London,Greater London,England,"London, Greater London, England"
623559,Pennsylvania Assembly: Reply to the Governor,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=118b,1757-2-9,1757,English,,Pennsylvania Assembly,William Denny,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623560,Pennsylvania Assembly Committee: Report on the Governor's Message,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=121a,1757-2-17,1757,English,,Pennsylvania Assembly Committee,unspecified,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",,,,,
623561,From the Earl of Loudoun,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=133a,1757-2-20,1757,English,,John Campbell Loudoun,Benjamin Franklin,New York City,New York City,New York,America,"New York City, New York, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623562,To Jane Mecom,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=134a,1757-2-21,1757,English,,Benjamin Franklin,Jane Mecom,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Boston,Boston,Massachusetts,America,"Boston, Massachusetts, America"
623563,To William Coleman,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=134b,1757-2-22,1757,English,,Benjamin Franklin,William Coleman,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623564,To William Parsons,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=135a,1757-2-22,1757,English,,Benjamin Franklin,William Parsons,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623565,Pennsylvania Assembly Committee: Report on Grievances,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=136a,1757-2-22,1757,English,,Pennsylvania Assembly Committee,unspecified,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",,,,,
623566,To the Earl of Loudoun,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=143a,1757-3-3,1757,English,,Benjamin Franklin,John Campbell Loudoun,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",New York City,New York City,New York,America,"New York City, New York, America"
623567,To Catharine Ray,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=143b,1757-3-3,1757,English,,Benjamin Franklin,Catharine Ray Greene,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",,,Rhode Island,America,"Rhode Island, America"
623568,Authorization to William Frizzel to Carry Mail,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=144a,1757-3-10,1757,English,,Benjamin Franklin,William Frizzel,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623569,A Testimonial,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=144b,1757-3-8,1757,English,,Benjamin Franklin,unspecified,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",,,,,
623570,To the Earl of Loudoun: Answers to Criticisms of the Supply Bill,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=145a,1757-3-21,1757,English,,Benjamin Franklin,John Campbell Loudoun,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623571,Provincial Commissioners: Order to Pay James Young,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=153a,1757-3-23,1757,English,,Provincial Commissioners,Trustees of the General Loan Office,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623572,To Samuel Ward,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=154a,1757-3-24,1757,English,,Benjamin Franklin,Samuel Ward,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Westerly,Westerly,Rhode Island,America,"Westerly, Rhode Island, America"
623573,From John Hughes,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=155a,1757-3-24,1757,English,,John Hughes,Benjamin Franklin,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623574,From John Hughes; Franklin's Receipt,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=155b,1757-3-24,1757,English,,Benjamin Franklin,unspecified,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",,,,,
623575,"William Denny, Franklin, and the Provincial Commissioners: Order to Pay Lewis Ourry",http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=156a,1757-3-29,1757,English,,William Denny:Benjamin Franklin:Provincial Commissioners,Trustees of the General Loan Office,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623576,Bill to the Proprietors,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=157a,1757-3-30,1757,English,,Benjamin Franklin,Colonial Proprietors,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623577,"Philadelphia Post Office Record Book, 1757-1764",http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=158a,1757-3-30,1757,English,,Benjamin Franklin,unspecified,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",,,,,
623578,"Philadelphia Post Office Accounts, 1757-1764",http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=160a,1757-3-30,1757,English,,Benjamin Franklin,unspecified,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",,,,,
623579,Pennsylvania Assembly: Instructions to Benjamin Franklin,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=163a,1757-3-31,1757,English,,Pennsylvania Assembly,Benjamin Franklin,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623580,"Account of Expenses, 1757-1762",http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=164a,1757-4-1,1757,English,,Benjamin Franklin,unspecified,,,,,,,,,,
623581,To Charles Norris,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=165a,1757-4-2,1757,English,,Benjamin Franklin,Charles Norris,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623582,Receipt for Bills of Exchange,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=166a,1757-4-3,1757,English,,Benjamin Franklin,unspecified,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",,,,,
623583,"Memorandum Book, 1757-1776",http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=167a,1757-4-3,1757,English,,Benjamin Franklin:Deborah Franklin,unspecified,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",,,,,
623584,To William Dunlap,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=168a,1757-4-4,1757,English,,Benjamin Franklin,William Dunlap,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Lancaster,Lancaster,Pennsylvania,America,"Lancaster, Pennsylvania, America"
623585,Power of Attorney to Deborah Franklin,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=169a,1757-4-4,1757,English,,Benjamin Franklin,Deborah Franklin,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623586,From Isaac Norris,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=171a,1757-4-4,1757,English,,Isaac Norris,Benjamin Franklin,Fairhill,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623587,Israel Pemberton to John Fothergill,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=173a,1757-4-4,1757,English,,Israel Pemberton,John Fothergill,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",London,London,Greater London,England,"London, Greater London, England"
623588,To Deborah Franklin,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=173b,1757-4-5,1757,English,,Benjamin Franklin,Deborah Franklin,Trenton,Trenton,New Jersey,America,"Trenton, New Jersey, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623589,From Isaac Norris,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=175a,1757-4-7,1757,English,,Isaac Norris,Benjamin Franklin,Fairhill,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",,,,,
623590,William Franklin to Elizabeth Graeme,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=177a,1757-4-7,1757,English,,William Franklin,Elizabeth Graeme,Elizabeth Town,Elizabeth Town,New Jersey,America,"Elizabeth, New Jersey, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623591,To Joseph Galloway,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=178a,1757-4-11,1757,English,,Benjamin Franklin,Joseph Galloway,New York City,New York City,New York,America,"New York City, New York, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623592,To Samuel Hazard,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=180a,1757-4-11,1757,English,,Benjamin Franklin,Samuel Hazard,New York City,New York City,New York,America,"New York City, New York, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623593,To Henry Bouquet,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=181a,1757-4-14,1757,English,,Benjamin Franklin,Henry Bouquet,New York City,New York City,New York,America,"New York City, New York, America",,,,America,America
623594,To Alexander Garden,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=183a,1757-4-14,1757,English,,Benjamin Franklin,Alexander Garden,New York City,New York City,New York,America,"New York City, New York, America",Charleston,Charleston,South Carolina,America,"Charleston, South Carolina, America"
623595,To John Lining,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=184a,1757-4-14,1757,English,,Benjamin Franklin,John Lining,New York City,New York City,New York,America,"New York City, New York, America",Charleston,Charleston,South Carolina,America,"Charleston, South Carolina, America"
623596,To Jane Mecom,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=190a,1757-4-19,1757,English,,Benjamin Franklin,Jane Mecom,New York City,New York City,New York,America,"New York City, New York, America",Boston,Boston,Massachusetts,America,"Boston, Massachusetts, America"
623597,Commission to James Parker as Comptroller of the Post Office,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=191a,1757-4-22,1757,English,,Benjamin Franklin:William Hunter (? - 1761),James Parker (1714-1770),New York City,New York City,New York,America,"New York City, New York, America",Woodbridge Township,Woodbridge Township,New Jersey,America,"Woodbridge Township, New Jersey, America"
623598,Post Office Instructions to James Parker,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=194a,1757-4-22,1757,English,,Benjamin Franklin:William Hunter (? - 1761),James Parker (1714-1770),New York City,New York City,New York,America,"New York City, New York, America",Woodbridge Township,Woodbridge Township,New Jersey,America,"Woodbridge Township, New Jersey, America"
623599,To Joseph Galloway,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=198a,1757-4-25,1757,English,,Benjamin Franklin,Joseph Galloway,New York City,New York City,New York,America,"New York City, New York, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623600,Last Will and Testament,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=199a,1757-4-28,1757,English,,Benjamin Franklin,unspecified,New York City,New York City,New York,America,"New York City, New York, America",,,,,
623601,To Deborah Franklin,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=205a,1757-4-29,1757,English,,Benjamin Franklin,Deborah Franklin,New York City,New York City,New York,America,"New York City, New York, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623602,To William Parsons,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=206a,1757-5-3,1757,English,,Benjamin Franklin,William Parsons,New York City,New York City,New York,America,"New York City, New York, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623603,"From Jacob Duché, Junior",http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=207a,1757-5-6,1757,English,,"Jacob Duché, Jr.",Benjamin Franklin,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",New York City,New York City,New York,America,"New York City, New York, America"
623604,From ?,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=208a,1757-5-10,1757,English,,unspecified,Benjamin Franklin,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",New York City,New York City,New York,America,"New York City, New York, America"
623605,William Franklin to Elizabeth Graeme,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=213a,1757-5-12,1757,English,,William Franklin,Elizabeth Graeme,New York City,New York City,New York,America,"New York City, New York, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623606,To [Peter Franklin],http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=214a,1757-5-21,1757,English,,Benjamin Franklin,Peter Franklin,Woodbridge Township,Woodbridge Township,New Jersey,America,"Woodbridge Township, New Jersey, America",Newport,Newport,Rhode Island,America,"Newport, Rhode Island, America"
623607,To the Earl of Loudoun,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=214b,1757-5-21,1757,English,,Benjamin Franklin,John Campbell Loudoun,Woodbridge Township,Woodbridge Township,New Jersey,America,"Woodbridge Township, New Jersey, America",New York City,New York City,New York,America,"New York City, New York, America"
623608,To Jane Mecom,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=215a,1757-5-21,1757,English,,Benjamin Franklin,Jane Mecom,Woodbridge Township,Woodbridge Township,New Jersey,America,"Woodbridge Township, New Jersey, America",Boston,Boston,Massachusetts,America,"Boston, Massachusetts, America"
623609,To Ezra Stiles,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=217a,1757-5-23,1757,English,,Benjamin Franklin,Ezra Stiles,New York City,New York City,New York,America,"New York City, New York, America",Newport,Newport,Rhode Island,America,"Newport, Rhode Island, America"
623610,To Deborah Franklin,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=217b,1757-5-27,1757,English,,Benjamin Franklin,Deborah Franklin,New York City,New York City,New York,America,"New York City, New York, America",Woodbridge Township,Woodbridge Township,New Jersey,America,"Woodbridge Township, New Jersey, America"
623611,To Jane Mecom,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=221a,1757-5-30,1757,English,,Benjamin Franklin,Jane Mecom,New York City,New York City,New York,America,"New York City, New York, America",Boston,Boston,Massachusetts,America,"Boston, Massachusetts, America"
623612,To Isaac Norris,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=223a,1757-5-30,1757,English,,Benjamin Franklin,Isaac Norris,New York City,New York City,New York,America,"New York City, New York, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623613,Epitaph of Josiah and Abiah Franklin,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=229a,1757-5-15,1757,English,,Benjamin Franklin,unspecified,,,,,,,,,,
623614,To Deborah Franklin,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=231a,1757-6-2,1757,English,,Benjamin Franklin,Deborah Franklin,New York City,New York City,New York,America,"New York City, New York, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623615,To Ezra Stiles,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=233a,1757-6-2,1757,English,,Benjamin Franklin,Ezra Stiles,New York City,New York City,New York,America,"New York City, New York, America",Newport,Newport,Rhode Island,America,"Newport, Rhode Island, America"
623616,William Franklin to Elizabeth Graeme,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=234a,1757-6-2,1757,English,,William Franklin,Elizabeth Graeme,New York City,New York City,New York,America,"New York City, New York, America",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623617,"David Hall's Remittances to England, 1757-1765",http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=235a,1757-6-2,1757,English,,David Hall,unspecified,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",,,,,
623618,To [Peter and Mary Franklin],http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=236a,1757-6-4,1757,English,,Benjamin Franklin,Peter Franklin:Mary Franklin,New York City,New York City,New York,America,"New York City, New York, America",Newport,Newport,Rhode Island,America,"Newport, Rhode Island, America"
623619,From David Hall,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=237a,1757-7-4,1757,English,,David Hall,Benjamin Franklin,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",London,London,Greater London,England,"London, Greater London, England"
623620,From Ezra Stiles,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=239a,1757-7-12,1757,English,,Ezra Stiles,Benjamin Franklin,Newport,Newport,Rhode Island,America,"Newport, Rhode Island, America",London,London,Greater London,England,"London, Greater London, England"
623621,To Deborah Franklin,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=243a,1757-7-17,1757,English,,Benjamin Franklin,Deborah Franklin,Falmouth,Falmouth,Cornwall,England,"Falmouth, Cornwall, England",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623622,William Franklin to Elizabeth Graeme,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=243b,1757-7-17,1757,English,,William Franklin,Elizabeth Graeme,Falmouth,Falmouth,Cornwall,England,"Falmouth, Cornwall, England",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623623,To Deborah Franklin,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=245a,1757-7-27,1757,English,,Benjamin Franklin,Deborah Franklin,London,London,Greater London,England,"London, Greater London, England",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623624,From John Bartram,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=246a,1757-7-29,1757,English,,John Bartram,Benjamin Franklin,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",London,London,Greater London,England,"London, Greater London, England"
623625,From Ferdinand John Paris,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=247a,1757-8-12,1757,English,,Ferdinand John Paris,Benjamin Franklin,Hampstead,London,Greater London,England,"London, Greater London, England",London,London,Greater London,England,"London, Greater London, England"
623626,To the Proprietors: Heads of Complaint,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=248a,1757-8-20,1757,English,,Benjamin Franklin,Colonial Proprietors,London,London,Greater London,England,"London, Greater London, England",Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America"
623627,From William Sturgeon,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=252a,1757-8-22,1757,English,,William Sturgeon,Benjamin Franklin,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",London,London,Greater London,England,"London, Greater London, England"
623628,Post Office Account with William Hunter,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=253a,1757-8-29,1757,English,,Benjamin Franklin,unspecified,London,London,Greater London,England,"London, Greater London, England",,,,,
623629,From David Hall,http://www.franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=254a,1757-9-14,1757,English,,David Hall,Benjamin Franklin,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",London,London,Greater London,England,"London, Greater London, England"
623630,William Franklin to the Printer of The Citizen (I),http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=255a,1757-9-16,1757,English,,William Franklin,Printer of the Citizen,London,London,Greater London,England,"London, Greater London, England",London,London,Greater London,England,"London, Greater London, England"
623631,William Franklin to the Printer of The Citizen (II),http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=258a,1757-9-16,1757,English,,William Franklin,Printer of the Citizen,London,London,Greater London,England,"London, Greater London, England",London,London,Greater London,England,"London, Greater London, England"
623632,From David Colden,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=263a,1757-9-18,1757,English,,David Colden,Benjamin Franklin,Coldengham,Coldengham,New York,America,"Coldenham, New York, America",London,London,Greater London,England,"London, Greater London, England"
623633,From Isaac Norris,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=264a,1757-10-17,1757,English,,Isaac Norris,Benjamin Franklin,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",London,London,Greater London,England,"London, Greater London, England"
623634,From David Hall,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=270a,1757-10-19,1757,English,,David Hall,Benjamin Franklin,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",London,London,Greater London,England,"London, Greater London, England"
623635,To John Fothergill,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=271a,1757-10-15,1757,English,,Benjamin Franklin,John Fothergill,London,London,Greater London,England,"London, Greater London, England",London,London,Greater London,England,"London, Greater London, England"
623636,From John Bartram,http://franklinpapers.org/franklin/framedVolumes.jsp?vol=7&page=271b,1757-11-12,1757,English,,John Bartram,Benjamin Franklin,Philadelphia,Philadelphia,Pennsylvania,America,"Philadelphia, Pennsylvania, America",London,London,Greater London,England,"London, Greater London, England"
